"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LDHB",2.41368695620753e-11,0.284480220555964,0.379,0.288,3.85369259428094e-07,"ncpf","LDHB"
"C6orf48",8.99875876524704e-11,0.286816188067286,0.545,0.468,1.43674182445934e-06,"ncpf","C6orf48"
"CD69",1.79196083657827e-10,0.390634250968526,0.348,0.267,2.86104467168087e-06,"ncpf","CD69"
"LUM",2.72791829306503e-10,0.280015973192761,0.374,0.286,4.35539434670762e-06,"ncpf","LUM"
"MRC1",2.88905269578961e-10,0.319481723862631,0.45,0.362,4.61266153409769e-06,"ncpf","MRC1"
"KLF2",1.29162658921768e-09,0.393883681340263,0.59,0.524,2.06221101234494e-05,"ncpf","KLF2"
"EIF4A3",4.82163938973119e-09,0.403496630089382,0.532,0.465,7.69822944964481e-05,"ncpf","EIF4A3"
"ZC3HAV1",7.51474161379652e-09,0.344227227470593,0.33,0.256,0.000119980364605875,"ncpf","ZC3HAV1"
"IRF8",2.74422510289393e-08,0.261101607480672,0.443,0.369,0.000438142979928046,"ncpf","IRF8"
"MT-ND4L",6.61226021239843e-08,0.259082326173064,0.561,0.492,0.00105571346551153,"ncpf","MT-ND4L"
"SLC2A3",6.86880199885763e-08,0.271597130006514,0.437,0.359,0.00109667292713761,"ncpf","SLC2A3"
"DDIT3",8.08607424271576e-08,0.314941081199255,0.371,0.295,0.001291022613592,"ncpf","DDIT3"
"ARRDC3",8.65756527557115e-08,0.268883410432248,0.353,0.283,0.00138226687189769,"ncpf","ARRDC3"
"CTSD",1.79381128253478e-07,0.292758938130726,0.894,0.881,0.00286399909369503,"ncpf","CTSD"
"HERPUD1",3.91765773347401e-07,0.274934349840391,0.656,0.611,0.00625493233726461,"ncpf","HERPUD1"
"CYCS",1.74437510511952e-06,0.257636186179259,0.637,0.594,0.0278506929283383,"ncpf","CYCS"
"YWHAH",1.85000351430932e-06,0.25293388386407,0.641,0.596,0.0295371561094627,"ncpf","YWHAH"
"TRA2B",3.21097201996842e-05,0.267026648971008,0.638,0.598,0.512663792708158,"ncpf","TRA2B"
"CCL3L3",0.00165669481018858,0.481716710754589,0.961,0.949,1,"ncpf","CCL3L3"
"HLA-DQA2",0,2.45441517425735,0.769,0.08,0,"rpl","HLA-DQA2"
"IGKC",3.41427483986636e-232,1.43970118054565,0.527,0.032,5.45123120933064e-228,"rpl","IGKC"
"RPS26",1.28015103270419e-111,0.847445007844742,0.872,0.749,2.04388913881551e-107,"rpl","RPS26"
"PLTP",2.91926224159906e-99,1.32797217164485,0.568,0.267,4.66089409493707e-95,"rpl","PLTP"
"CCL3",1.79085043711292e-96,0.857031118755363,0.994,0.953,2.8592718078945e-92,"rpl","CCL3"
"CCL4",9.05278309499426e-96,0.88824118429384,0.995,0.969,1.44536734894678e-91,"rpl","CCL4"
"SPP1",1.01405138642168e-93,1.75613681645833,0.685,0.381,1.61903444356085e-89,"rpl","SPP1"
"HLA-B",2.60678625577999e-75,0.406512334669023,0.984,0.973,4.16199493597834e-71,"rpl","HLA-B"
"EGR2",1.77518470907984e-73,1.07036491511081,0.455,0.194,2.83425990651688e-69,"rpl","EGR2"
"CXCL8",7.87207951198054e-70,0.817393739107406,0.901,0.731,1.25685621488281e-65,"rpl","CXCL8"
"LGMN",6.46786519417302e-54,0.840692257966099,0.717,0.529,1.03265935690166e-49,"rpl","LGMN"
"FAM26F",9.48063869598421e-52,0.695152963216189,0.528,0.315,1.51367877420084e-47,"rpl","FAM26F"
"MT-ND1",1.13581044873154e-49,0.447941269068533,0.942,0.91,1.81343496244477e-45,"rpl","MT-ND1"
"BCL2A1",7.80446035302712e-45,0.663284245679463,0.722,0.53,1.24606013996431e-40,"rpl","BCL2A1"
"IFITM3",7.19813783999366e-41,0.469663687934457,0.913,0.838,1.14925468753339e-36,"rpl","IFITM3"
"SGK1",1.15495849226287e-40,0.583080400353718,0.774,0.646,1.8440067287469e-36,"rpl","SGK1"
"CTSL",7.84638138069321e-40,0.597928183540013,0.729,0.58,1.25275325124148e-35,"rpl","CTSL"
"FCGR3A",1.54472398147866e-39,0.549239246706303,0.792,0.683,2.46630630882883e-35,"rpl","FCGR3A"
"C1QA",3.31617182721978e-39,0.475953781774217,0.906,0.92,5.29459993933909e-35,"rpl","C1QA"
"IFI6",1.09200794786851e-38,0.522778857988997,0.803,0.66,1.74349988956687e-34,"rpl","IFI6"
"MCL1",1.90804277447893e-37,0.443024437439441,0.84,0.727,3.04638109373306e-33,"rpl","MCL1"
"C1QB",1.43957585386611e-35,0.460321079551562,0.9,0.913,2.29842680828263e-31,"rpl","C1QB"
"C1QC",4.00916120459087e-35,0.430593831908016,0.873,0.902,6.40102677924978e-31,"rpl","C1QC"
"RASGEF1B",1.34639565991665e-34,0.549914740569715,0.517,0.339,2.14965531062292e-30,"rpl","RASGEF1B"
"MS4A7",1.74663584984044e-34,0.487423307888301,0.823,0.753,2.78867879785524e-30,"rpl","MS4A7"
"IFI44L",1.92128229056658e-34,0.569424134762283,0.463,0.291,3.0675193051186e-30,"rpl","IFI44L"
"BST2",2.77272956709132e-33,0.450609238791315,0.804,0.733,4.42694002681801e-29,"rpl","BST2"
"CXCL2",3.15011671161075e-33,0.6528500647793,0.783,0.664,5.02947634175772e-29,"rpl","CXCL2"
"SERPING1",1.04448118065977e-32,0.567285779826011,0.384,0.222,1.66761865304139e-28,"rpl","SERPING1"
"LY6E",1.14601580281985e-32,0.499163098166301,0.692,0.544,1.82972883078217e-28,"rpl","LY6E"
"MT-ND2",9.72111647149151e-32,0.346675145449135,0.953,0.931,1.55207345583833e-27,"rpl","MT-ND2"
"DBI",2.38129689817268e-31,0.478562070174997,0.76,0.649,3.80197862762251e-27,"rpl","DBI"
"MT-CO3",5.26083714323037e-31,0.316033771744556,0.962,0.949,8.3994525828816e-27,"rpl","MT-CO3"
"CFD",1.0767070583453e-30,0.572061546905312,0.652,0.516,1.71907048935411e-26,"rpl","CFD"
"NR4A3",1.15690420271548e-30,0.576991684240648,0.496,0.333,1.84711325005553e-26,"rpl","NR4A3"
"CCL2",1.75084487989089e-30,0.800446861522662,0.616,0.462,2.79539893523379e-26,"rpl","CCL2"
"KDM6B",5.53348612581061e-30,0.57456222565805,0.548,0.398,8.83476394846922e-26,"rpl","KDM6B"
"CCL20",9.51729219070634e-30,0.795854039023836,0.381,0.215,1.51953087116817e-25,"rpl","CCL20"
"SOD2",1.41633220330585e-29,0.459795980355053,0.921,0.867,2.26131599579811e-25,"rpl","SOD2"
"IFI27",1.48722875062068e-29,1.33994457065945,0.287,0.144,2.37450942324097e-25,"rpl","IFI27"
"VSIG4",4.49943360478126e-29,0.578941610836311,0.579,0.443,7.18379569339376e-25,"rpl","VSIG4"
"FTH1",1.65501080754911e-28,0.308999684308038,1,1,2.6423902553329e-24,"rpl","FTH1"
"ISG15",9.12746223883438e-28,0.404663966740446,0.775,0.669,1.4572906210523e-23,"rpl","ISG15"
"NAMPT",1.31032927580314e-27,0.409979262273907,0.824,0.728,2.0920717217473e-23,"rpl","NAMPT"
"KLF6",2.83695986534587e-27,0.397268352854253,0.903,0.84,4.52949012101121e-23,"rpl","KLF6"
"PLAUR",1.07768955165058e-26,0.487315552439122,0.826,0.748,1.72063913816531e-22,"rpl","PLAUR"
"IER3",2.23346765172058e-25,0.434317950591381,0.918,0.886,3.56595445273708e-21,"rpl","IER3"
"SAT1",4.81288258826048e-25,0.27634423624913,0.988,0.965,7.68424834041668e-21,"rpl","SAT1"
"CD163",7.19288348005142e-25,0.498719816446872,0.566,0.442,1.14841577642501e-20,"rpl","CD163"
"LIPA",9.58150896925089e-23,0.429597006030009,0.407,0.268,1.5297837220306e-18,"rpl","LIPA"
"HLA-DRB5",3.24941609994519e-22,0.441213666838821,0.943,0.876,5.18801774517249e-18,"rpl","HLA-DRB5"
"NR4A2",1.24734568805636e-21,0.419261001500861,0.781,0.692,1.99151212555079e-17,"rpl","NR4A2"
"C6orf62",5.10566278678189e-21,0.340805853716503,0.406,0.271,8.15170120537597e-17,"rpl","C6orf62"
"C2",5.82108749170645e-20,0.427830837779395,0.36,0.233,9.29394828925851e-16,"rpl","C2"
"CD14",3.07070886950463e-19,0.361283859457535,0.914,0.886,4.90269378105109e-15,"rpl","CD14"
"S100A9",1.18830895520366e-18,0.650271944768725,0.497,0.374,1.89725407787817e-14,"rpl","S100A9"
"CD83",4.33191655256902e-18,0.308991875860538,0.878,0.792,6.91633796783169e-14,"rpl","CD83"
"PLEK",5.68344582901031e-18,0.371895423493609,0.668,0.555,9.07418961059785e-14,"rpl","PLEK"
"CXCL3",9.64717734021341e-18,0.616288950456243,0.708,0.612,1.54026833413847e-13,"rpl","CXCL3"
"FCGR1A",3.73738072721122e-17,0.377666639473782,0.469,0.365,5.96710206906544e-13,"rpl","FCGR1A"
"PNRC1",2.01765994323288e-16,0.26974372793015,0.888,0.828,3.22139586536561e-12,"rpl","PNRC1"
"LGALS3BP",5.74833068466387e-16,0.376256526828243,0.479,0.381,9.17778477113433e-12,"rpl","LGALS3BP"
"GRN",1.06337609691514e-15,0.261764164723853,0.846,0.794,1.69778627633471e-11,"rpl","GRN"
"NEAT1",2.84406600114373e-15,0.295687195725749,0.921,0.878,4.54083577742608e-11,"rpl","NEAT1"
"ATF3",2.87557087260195e-15,0.41936302894683,0.747,0.669,4.59113645519627e-11,"rpl","ATF3"
"TUBA1A",4.27777231251218e-15,0.359184595116691,0.507,0.4,6.82989127415695e-11,"rpl","TUBA1A"
"LMNA",7.04580740277266e-15,0.454037479176374,0.56,0.462,1.12493360992668e-10,"rpl","LMNA"
"FOSB",7.65260439633966e-15,0.312699149423814,0.872,0.808,1.22181481791959e-10,"rpl","FOSB"
"C3AR1",1.13771287910147e-14,0.297222708245868,0.485,0.376,1.81647238277341e-10,"rpl","C3AR1"
"RPL36AL",3.07402487192926e-14,0.251305193236333,0.82,0.772,4.90798811052226e-10,"rpl","RPL36AL"
"MX2",4.92949374947582e-14,0.290379684591566,0.268,0.172,7.87042972041309e-10,"rpl","MX2"
"KLF10",1.69570777792549e-13,0.344985636349368,0.43,0.331,2.70736703823584e-09,"rpl","KLF10"
"S100A8",2.86867984798182e-13,0.657929289462214,0.284,0.19,4.58013424528778e-09,"rpl","S100A8"
"LY96",5.08924512091484e-13,0.286910417151043,0.676,0.615,8.12548876005264e-09,"rpl","LY96"
"STX11",4.99096889634995e-12,0.313871663482176,0.41,0.31,7.96858093991234e-08,"rpl","STX11"
"GAA",7.66326000182637e-12,0.289756424512116,0.385,0.294,1.2235160918916e-07,"rpl","GAA"
"PSMB9",7.87447931464514e-12,0.275446634195315,0.464,0.371,1.25723936737624e-07,"rpl","PSMB9"
"SERPINA1",1.0164580408589e-11,0.323146186068637,0.494,0.394,1.62287690803531e-07,"rpl","SERPINA1"
"RGS1",1.05006130811268e-11,0.333107727830453,0.836,0.799,1.67652788453271e-07,"rpl","RGS1"
"CTSZ",1.17752487415515e-11,0.322201337584591,0.756,0.706,1.88003621407611e-07,"rpl","CTSZ"
"CEBPD",3.12044078682735e-11,0.30007334183313,0.647,0.563,4.98209576024854e-07,"rpl","CEBPD"
"OAS1",3.30612954032239e-11,0.253907147024605,0.284,0.198,5.27856642407872e-07,"rpl","OAS1"
"NFKB1",6.32963478469765e-11,0.354436862484277,0.42,0.334,1.01058948972483e-06,"rpl","NFKB1"
"LILRB4",6.69003063234975e-11,0.283886254394984,0.418,0.341,1.06813029076096e-06,"rpl","LILRB4"
"ZFP36L1",7.03702570165138e-11,0.279883217475016,0.795,0.753,1.12353152352566e-06,"rpl","ZFP36L1"
"XAF1",7.12986065991359e-11,0.285480616111286,0.253,0.172,1.1383535529618e-06,"rpl","XAF1"
"HLA-DPB1",1.49491546842656e-10,0.251465107119782,0.967,0.968,2.38678203688984e-06,"rpl","HLA-DPB1"
"ATOX1",2.89572115347843e-10,0.257881818643581,0.535,0.448,4.62330839364367e-06,"rpl","ATOX1"
"RNF149",3.15064512344289e-10,0.267056220842812,0.443,0.365,5.03032000408891e-06,"rpl","RNF149"
"CALM3",4.36357793380225e-10,0.320024226316861,0.471,0.391,6.96688852910867e-06,"rpl","CALM3"
"C3",1.37893616111177e-09,0.376660408327106,0.577,0.532,2.20160947483105e-05,"rpl","C3"
"IFI44",1.56531284755168e-09,0.262207010870597,0.284,0.206,2.49917849240101e-05,"rpl","IFI44"
"ENG",2.17984365993808e-09,0.261461638671541,0.321,0.241,3.48033838745714e-05,"rpl","ENG"
"IL1B",2.5286327487401e-09,0.418706175621755,0.763,0.704,4.03721504663844e-05,"rpl","IL1B"
"CSTB",3.25135232313118e-09,0.356116604202155,0.744,0.68,5.19110911911123e-05,"rpl","CSTB"
"OLR1",3.88000021027233e-09,0.387334246712517,0.392,0.313,6.1948083357208e-05,"rpl","OLR1"
"UCP2",4.50668915507906e-09,0.268701059214792,0.493,0.415,7.19537990499923e-05,"rpl","UCP2"
"ABL2",1.21806915214203e-08,0.284338124788216,0.495,0.41,0.000194476920830996,"rpl","ABL2"
"TIMP1",1.37304202943591e-08,0.823541465369834,0.638,0.571,0.000219219890419737,"rpl","TIMP1"
"FYB",3.09507997273689e-08,0.255670254640254,0.489,0.423,0.000494160468447172,"rpl","FYB"
"SELK",3.91214579975503e-08,0.253873603669492,0.679,0.627,0.000624613198388888,"rpl","SELK"
"CD4",4.66575568557686e-08,0.280107569986261,0.472,0.404,0.000744934552759201,"rpl","CD4"
"STAB1",4.89456952967035e-08,0.255266116343122,0.569,0.487,0.000781466971107168,"rpl","STAB1"
"ADAM17",1.00767636220032e-07,0.26053876717567,0.25,0.186,0.00160885607988904,"rpl","ADAM17"
"BIRC3",2.11235116158403e-07,0.339199693825795,0.292,0.229,0.00337257986458506,"rpl","BIRC3"
"C15orf48",2.11513238680518e-07,0.436911911207027,0.47,0.399,0.00337702036877316,"rpl","C15orf48"
"CD44",3.98528148992376e-07,0.305650343956935,0.594,0.532,0.00636290042681228,"rpl","CD44"
"TNF",4.855248576834e-07,0.395817921361781,0.408,0.343,0.00775188987777316,"rpl","TNF"
"VMO1",5.24149365297072e-07,0.310205969386511,0.283,0.22,0.00836856876633304,"rpl","VMO1"
"S100A4",7.87964317633407e-07,0.412636249079548,0.784,0.744,0.012580638295335,"rpl","S100A4"
"S100A6",4.23220956910524e-06,0.628640984213448,0.747,0.725,0.0675714579803343,"rpl","S100A6"
"PKM",1.06185383532986e-05,0.256724920456319,0.577,0.53,0.169535583348766,"rpl","PKM"
"PHLDA1",7.34005428806861e-05,0.250693496354539,0.323,0.275,1,"rpl","PHLDA1"
"EIF4E",0.00083366341910203,0.379733773538002,0.307,0.273,1,"rpl","EIF4E"
