"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TSPO",3.89068693112697e-19,0.403169308200954,0.512,0.369,6.21187075423733e-15,"rpl","TSPO"
"KLRC1",8.65160907539584e-19,0.305339550736927,0.88,0.8,1.3813159049777e-14,"rpl","KLRC1"
"CXCL8",2.13868855566664e-18,0.463660296867058,0.375,0.238,3.41463014797736e-14,"rpl","CXCL8"
"MATK",2.42530873903962e-18,0.333047207323122,0.589,0.418,3.87224793275065e-14,"rpl","MATK"
"MAFF",3.72616362073506e-18,0.410927606077879,0.601,0.468,5.94919283686559e-14,"rpl","MAFF"
"TSTD1",4.52914652531006e-18,0.404223312537308,0.482,0.347,7.23123534231004e-14,"rpl","TSTD1"
"ALOX5AP",4.98410937718316e-18,0.454451438956796,0.566,0.437,7.95762903161064e-14,"rpl","ALOX5AP"
"CD37",1.17652992825062e-17,0.352906826227212,0.632,0.497,1.87844768344493e-13,"rpl","CD37"
"GLIPR2",2.61633145901757e-16,0.404189000884123,0.547,0.441,4.17723480746745e-12,"rpl","GLIPR2"
"GZMB",5.72654341277659e-16,0.501213844987143,0.835,0.775,9.14299921283911e-12,"rpl","GZMB"
"HERPUD2",8.05366432954317e-16,0.467072605315086,0.414,0.292,1.28584804685486e-11,"rpl","HERPUD2"
"MPG",8.55369496390658e-16,0.411956405795164,0.388,0.268,1.36568293793732e-11,"rpl","MPG"
"CSTB",1.15085414266854e-15,0.390498521084545,0.507,0.39,1.8374537241846e-11,"rpl","CSTB"
"ID2",4.0257241220758e-15,0.316857658170387,0.901,0.87,6.42747113330623e-11,"rpl","ID2"
"ITGB2",1.01468810727723e-14,0.311936041498263,0.521,0.376,1.62005103207883e-10,"rpl","ITGB2"
"IRF7",1.64993212044253e-14,0.418606394264515,0.31,0.2,2.63428162349854e-10,"rpl","IRF7"
"SRSF5",3.88864124979716e-14,0.348219179178521,0.718,0.636,6.20860461942615e-10,"rpl","SRSF5"
"SLC16A3",8.90547282550529e-14,0.348779512471417,0.5,0.384,1.42184779132018e-09,"rpl","SLC16A3"
"FOS",1.1294177901976e-13,0.369995148678445,0.916,0.907,1.80322844382948e-09,"rpl","FOS"
"SAMSN1",1.89637982776179e-13,0.309311110879286,0.653,0.572,3.02776003300447e-09,"rpl","SAMSN1"
"CD2",4.1444004999918e-13,0.293285438021855,0.483,0.351,6.6169498382869e-09,"rpl","CD2"
"NUDT14",8.73810438379011e-13,0.372234761984014,0.283,0.183,1.39512574591593e-08,"rpl","NUDT14"
"C9orf16",1.01443132042142e-12,0.313051171590955,0.592,0.495,1.61964104618483e-08,"rpl","C9orf16"
"S100A4",1.01786157446852e-12,0.293188978037089,0.796,0.719,1.62511778979644e-08,"rpl","S100A4"
"RPS26",1.22329372788942e-12,0.292703442290097,0.88,0.847,1.95311076594825e-08,"rpl","RPS26"
"ISG20",1.73357363006953e-12,0.422644568601907,0.359,0.253,2.76782365776902e-08,"rpl","ISG20"
"XCL2",5.38408609597475e-12,0.318409088185247,0.882,0.813,8.59623186083329e-08,"rpl","XCL2"
"C1orf162",6.75393299823501e-12,0.276754608551447,0.277,0.172,1.0783329424982e-07,"rpl","C1orf162"
"TNFRSF18",2.6666613733122e-11,0.290672970565451,0.687,0.601,4.25759154863025e-07,"rpl","TNFRSF18"
"CD48",3.50576927833679e-11,0.272890721551495,0.416,0.295,5.59731122979252e-07,"rpl","CD48"
"LAPTM4A",4.66719113053312e-11,0.279757482982372,0.511,0.4,7.45163735900918e-07,"rpl","LAPTM4A"
"TNFRSF4",4.82808248593287e-11,0.354109130253062,0.344,0.24,7.70851649704042e-07,"rpl","TNFRSF4"
"HLA-DPB1",9.78913160638437e-11,0.361658498443409,0.515,0.418,1.56293275227533e-06,"rpl","HLA-DPB1"
"UQCRH",7.51756271551446e-10,0.272037237865343,0.641,0.567,1.20025406315904e-05,"rpl","UQCRH"
"MAP3K8",1.31773530470996e-09,0.308126237260273,0.54,0.462,2.10389618749992e-05,"rpl","MAP3K8"
"CARD19",1.36447931205619e-09,0.271261545063959,0.284,0.195,2.17852766962892e-05,"rpl","CARD19"
"PRKX",3.94807043658678e-09,0.320439513391004,0.293,0.212,6.30348925905445e-05,"rpl","PRKX"
"CDHR1",4.16187723777125e-09,0.257098952971856,0.275,0.183,6.64485319782557e-05,"rpl","CDHR1"
"CREM",1.24079966790751e-08,0.262197125005105,0.694,0.623,0.000198106074978113,"rpl","CREM"
"NDUFC2",1.25725008003639e-08,0.27242303613015,0.471,0.391,0.000200732547778611,"rpl","NDUFC2"
"TIMP1",1.86315876199849e-08,0.321981791067827,0.32,0.241,0.000297471927940679,"rpl","TIMP1"
"HSH2D",8.91307224301625e-08,0.305269407617273,0.289,0.213,0.00142306111431998,"rpl","HSH2D"
"PSMB9",1.00482379546989e-07,0.279662575147665,0.518,0.451,0.00160430167184723,"rpl","PSMB9"
"CD9",5.878053449719e-07,0.303138112276312,0.437,0.368,0.00938490013782136,"rpl","CD9"
"SH2D2A",1.56188055326482e-06,0.279510261237448,0.411,0.343,0.0249369849134261,"rpl","SH2D2A"
"CASP3",5.673841202217e-06,0.257590684915954,0.273,0.211,0.0905885486345966,"rpl","CASP3"
"LMNA",0.00044080135712606,0.307831053310176,0.293,0.249,1,"rpl","LMNA"
"TUBA4A",0.00231865270449827,0.266176623572756,0.48,0.441,1,"rpl","TUBA4A"
"CXCR4",0.00553010956415105,0.485374418882326,0.491,0.461,1,"rpl","CXCR4"
